,01,02,03,04,05,06,07,08,09,10,11,12,Yearly Total,Yearly Average
2013,,,,,,,843416,1001958,1034359,1037712,675774,443966,5037185.0,839530.8333333334
2014,300400,224736,439117,670780,866117,936880,968842,963489,953887,828711,529188,399069,8081216.0,673434.6666666666
2015,285552,196930,341826,652390,961986,941219,1085676,1179044,1289699,1212277,987245,804125,9937969.0,828164.0833333334
2016,509478,560874,919921,1013149,1212280,1460318,1380110,1557663,1648856,1573872,1196942,812192,13845655.0,1153804.5833333333
2017,726676,791647,727665,1315404,1523268,1731594,1735599,1816498,1878098,1897592,1330649,889967,16364657.0,1363721.4166666667
2018,718994,843114,976672,1307543,1824710,1953103,1913625,1977177,1877884,1878657,1260355,1016505,17548339.0,1462361.5833333333
2019,967287,943744,1327960,1766094,1924563,2125370,2181064,2344224,2444900,2092573,1478708,955210,20551697.0,1712641.4166666667
2020,1240596,1146830,1068457,682762,1487890,1882273,2105808,2329514,2488225,2248869,1736704,1088929,19506857.0,1625571.4166666667
2021,1095346,649983,1531094,2067669,2724165,3177517,3084537,3072478,3280221,3069239,,,23752249.0,2375224.9
Monthly Average,730541.125,669732.25,916589.0,1184473.875,1565622.375,1776034.25,1699853.0,1804671.6666666667,1877347.6666666667,1759944.6666666667,1149445.625,801245.375,,
